semente,episodio,recompensa
0,1,-2536.0
0,2,-2298.0
0,3,-2222.0
0,4,-2129.0
0,5,-2193.0
0,6,-3467.0
0,7,-1978.0
0,8,-2113.0
0,9,-1993.0
0,10,-2241.0
0,11,-2338.0
0,12,-2195.0
0,13,-2367.0
0,14,-1776.0
0,15,-2258.0
0,16,-1615.0
0,17,-2223.0
0,18,-1473.0
0,19,-1758.0
0,20,-2568.0
0,21,-1929.0
0,22,-2380.0
0,23,-1701.0
0,24,-1897.0
0,25,-1594.0
0,26,-2057.0
0,27,-1445.0
0,28,-1538.0
0,29,-1877.0
0,30,-2702.0
0,31,-1649.0
0,32,-1971.0
0,33,-1787.0
0,34,-2185.0
0,35,-2109.0
0,36,-3090.0
0,37,-2770.0
0,38,-2123.0
0,39,-1495.0
0,40,-2635.0
0,41,-1526.0
0,42,-1557.0
0,43,-1542.0
0,44,-1064.0
0,45,-3132.0
0,46,-1834.0
0,47,-1997.0
0,48,-1303.0
0,49,-1556.0
0,50,-1944.0
0,51,-1534.0
0,52,-2238.0
0,53,-1808.0
0,54,-1955.0
0,55,-1382.0
0,56,-1595.0
0,57,-1787.0
0,58,-1341.0
0,59,-1877.0
0,60,-1506.0
0,61,-1503.0
0,62,-1415.0
0,63,-1735.0
0,64,-1735.0
0,65,-2034.0
0,66,-1919.0
0,67,-1270.0
0,68,-1775.0
0,69,-1775.0
0,70,-1775.0
0,71,-1503.0
0,72,-1854.0
0,73,-1693.0
0,74,-1967.0
0,75,-1784.0
0,76,-2214.0
0,77,-1790.0
0,78,-1816.0
0,79,-1901.0
0,80,-1762.0
0,81,-1906.0
0,82,-2128.0
0,83,-1844.0
0,84,-1878.0
0,85,-1877.0
0,86,-1767.0
0,87,-2105.0
0,88,-1723.0
0,89,-1763.0
0,90,-1600.0
0,91,-1651.0
0,92,-1824.0
0,93,-2146.0
0,94,-1426.0
0,95,-1859.0
0,96,-1772.0
0,97,-1506.0
0,98,-1373.0
0,99,-1735.0
0,100,-1558.0
0,101,-1625.0
0,102,-1655.0
0,103,-1185.0
0,104,-2649.0
0,105,-1683.0
0,106,-1635.0
0,107,-1524.0
0,108,-1410.0
1,1,-3898.0
1,2,-2125.0
1,3,-1795.0
1,4,-1991.0
1,5,-1846.0
1,6,-2168.0
1,7,-1969.0
1,8,-2399.0
1,9,-3124.0
1,10,-3762.0
1,11,-1842.0
1,12,-1869.0
1,13,-3123.0
1,14,-1939.0
1,15,-2032.0
1,16,-2447.0
1,17,-2007.0
1,18,-2131.0
1,19,-1980.0
1,20,-1983.0
1,21,-1574.0
1,22,-1833.0
1,23,-3050.0
1,24,-1691.0
1,25,-1877.0
1,26,-1621.0
1,27,-3050.0
1,28,-2098.0
1,29,-2182.0
1,30,-1687.0
1,31,-1832.0
1,32,-2956.0
1,33,-1820.0
1,34,-2373.0
1,35,-2122.0
1,36,-1483.0
1,37,-2568.0
1,38,-2149.0
1,39,-2012.0
1,40,-1782.0
1,41,-1658.0
1,42,-1620.0
1,43,-1842.0
1,44,-1786.0
1,45,-1867.0
1,46,-1938.0
1,47,-1759.0
1,48,-1668.0
1,49,-1874.0
1,50,-2023.0
1,51,-1746.0
1,52,-2397.0
1,53,-2331.0
1,54,-2110.0
1,55,-1983.0
1,56,-2588.0
1,57,-1995.0
1,58,-1720.0
1,59,-1738.0
1,60,-1504.0
1,61,-1619.0
1,62,-2034.0
1,63,-1813.0
1,64,-1905.0
1,65,-1646.0
1,66,-2346.0
1,67,-1444.0
1,68,-1826.0
1,69,-2524.0
1,70,-1619.0
1,71,-1603.0
1,72,-1669.0
1,73,-2976.0
1,74,-1042.0
1,75,-1339.0
1,76,-1442.0
1,77,-1615.0
1,78,-1456.0
1,79,-2402.0
1,80,-3171.0
1,81,-2113.0
1,82,-3879.0
1,83,-1452.0
1,84,-2076.0
1,85,-1716.0
1,86,-1636.0
1,87,-1772.0
1,88,-1437.0
1,89,-1661.0
1,90,-1881.0
1,91,-3501.0
1,92,-1415.0
1,93,-1821.0
1,94,-2771.0
1,95,-3364.0
1,96,-2394.0
1,97,-1998.0
1,98,-1820.0
1,99,-1739.0
1,100,-1451.0
1,101,-1670.0
1,102,-2020.0
1,103,-1618.0
1,104,-1467.0
1,105,-1535.0
1,106,-1703.0
1,107,-1927.0
1,108,-1408.0
1,109,-2554.0
1,110,-1684.0
2,1,-2435.0
2,2,-2504.0
2,3,-2035.0
2,4,-1770.0
2,5,-2031.0
2,6,-2099.0
2,7,-1738.0
2,8,-1851.0
2,9,-2014.0
2,10,-3240.0
2,11,-2085.0
2,12,-2638.0
2,13,-4247.0
2,14,-2791.0
2,15,-1958.0
2,16,-1933.0
2,17,-2112.0
2,18,-2511.0
2,19,-2022.0
2,20,-2294.0
2,21,-2078.0
2,22,-1687.0
2,23,-1832.0
2,24,-3362.0
2,25,-1928.0
2,26,-1586.0
2,27,-2847.0
2,28,-2693.0
2,29,-2002.0
2,30,-2379.0
2,31,-2519.0
2,32,-2126.0
2,33,-2203.0
2,34,-1706.0
2,35,-3075.0
2,36,-2352.0
2,37,-2609.0
2,38,-1577.0
2,39,-2029.0
2,40,-3026.0
2,41,-2264.0
2,42,-1888.0
2,43,-2815.0
2,44,-2733.0
2,45,-1903.0
2,46,-2489.0
2,47,-2237.0
2,48,-2475.0
2,49,-1773.0
2,50,-2274.0
2,51,-2554.0
2,52,-2859.0
2,53,-1726.0
2,54,-2011.0
2,55,-3319.0
2,56,-2519.0
2,57,-2764.0
2,58,-3587.0
2,59,-2536.0
2,60,-2377.0
2,61,-2904.0
2,62,-1899.0
2,63,-1626.0
2,64,-1639.0
2,65,-1564.0
2,66,-1400.0
2,67,-1548.0
2,68,-1420.0
2,69,-1631.0
2,70,-1818.0
2,71,-1796.0
2,72,-1572.0
2,73,-1408.0
2,74,-2586.0
2,75,-2588.0
2,76,-1551.0
2,77,-1671.0
2,78,-1669.0
2,79,-1240.0
2,80,-1585.0
2,81,-1627.0
2,82,-1547.0
2,83,-1154.0
2,84,-1408.0
2,85,-3817.0
2,86,-2579.0
2,87,-2649.0
2,88,-1722.0
2,89,-1445.0
2,90,-1505.0
2,91,-2195.0
2,92,-1818.0
2,93,-1225.0
2,94,-1797.0
2,95,-1239.0
2,96,-1090.0
2,97,-1318.0
2,98,-2286.0
2,99,-3826.0
2,100,-2158.0
2,101,-2200.0
2,102,-2610.0
2,103,-3540.0
2,104,-3422.0
2,105,-1803.0
2,106,-1499.0
2,107,-1405.0
2,108,-3160.0
3,1,-3468.0
3,2,-2785.0
3,3,-1998.0
3,4,-2173.0
3,5,-2157.0
3,6,-2344.0
3,7,-2183.0
3,8,-2145.0
3,9,-1952.0
3,10,-2006.0
3,11,-2052.0
3,12,-2093.0
3,13,-1911.0
3,14,-2141.0
3,15,-2146.0
3,16,-2129.0
3,17,-2192.0
3,18,-2171.0
3,19,-1628.0
3,20,-2076.0
3,21,-1824.0
3,22,-1700.0
3,23,-1609.0
3,24,-1886.0
3,25,-2697.0
3,26,-2222.0
3,27,-2453.0
3,28,-2310.0
3,29,-2476.0
3,30,-1881.0
3,31,-1967.0
3,32,-1952.0
3,33,-2228.0
3,34,-4894.0
3,35,-3119.0
3,36,-2331.0
3,37,-3066.0
3,38,-1846.0
3,39,-1649.0
3,40,-2660.0
3,41,-1559.0
3,42,-1698.0
3,43,-2042.0
3,44,-1414.0
3,45,-1692.0
3,46,-2313.0
3,47,-1354.0
3,48,-2336.0
3,49,-1381.0
3,50,-1949.0
3,51,-2050.0
3,52,-1692.0
3,53,-1703.0
3,54,-1320.0
3,55,-2235.0
3,56,-2503.0
3,57,-1410.0
3,58,-1684.0
3,59,-1427.0
3,60,-1561.0
3,61,-2335.0
3,62,-1897.0
3,63,-1604.0
3,64,-1269.0
3,65,-1676.0
3,66,-2599.0
3,67,-1503.0
3,68,-3272.0
3,69,-2689.0
3,70,-2290.0
3,71,-1660.0
3,72,-2151.0
3,73,-3136.0
3,74,-3957.0
3,75,-2956.0
3,76,-1252.0
3,77,-2377.0
3,78,-1245.0
3,79,-1762.0
3,80,-1662.0
3,81,-1804.0
3,82,-1630.0
3,83,-1795.0
3,84,-2380.0
3,85,-1942.0
3,86,-1600.0
3,87,-2499.0
3,88,-3162.0
3,89,-2555.0
3,90,-2104.0
3,91,-1451.0
3,92,-2220.0
3,93,-1129.0
3,94,-1507.0
3,95,-1354.0
3,96,-1896.0
3,97,-1474.0
3,98,-1651.0
3,99,-1504.0
3,100,-2141.0
3,101,-1933.0
3,102,-1571.0
3,103,-1393.0
3,104,-1326.0
3,105,-1742.0
3,106,-2410.0
3,107,-1304.0
3,108,-1400.0
3,109,-2059.0
4,1,-2052.0
4,2,-2608.0
4,3,-2208.0
4,4,-1990.0
4,5,-2361.0
4,6,-2019.0
4,7,-2108.0
4,8,-2461.0
4,9,-1632.0
4,10,-1650.0
4,11,-1321.0
4,12,-2331.0
4,13,-2285.0
4,14,-4947.0
4,15,-2190.0
4,16,-3975.0
4,17,-2679.0
4,18,-1619.0
4,19,-1553.0
4,20,-1723.0
4,21,-2527.0
4,22,-1660.0
4,23,-3142.0
4,24,-1482.0
4,25,-1777.0
4,26,-1691.0
4,27,-1940.0
4,28,-1882.0
4,29,-2982.0
4,30,-2295.0
4,31,-2563.0
4,32,-1680.0
4,33,-1120.0
4,34,-1485.0
4,35,-1818.0
4,36,-2251.0
4,37,-1356.0
4,38,-1988.0
4,39,-2349.0
4,40,-1571.0
4,41,-1788.0
4,42,-1391.0
4,43,-2438.0
4,44,-1092.0
4,45,-2015.0
4,46,-2368.0
4,47,-2697.0
4,48,-2181.0
4,49,-1327.0
4,50,-1534.0
4,51,-1506.0
4,52,-2509.0
4,53,-1528.0
4,54,-2409.0
4,55,-1949.0
4,56,-1786.0
4,57,-1449.0
4,58,-2442.0
4,59,-3186.0
4,60,-1392.0
4,61,-1138.0
4,62,-1576.0
4,63,-1641.0
4,64,-1164.0
