semente,episodio,recompensa
0,1,-4656.0
0,2,-5821.0
0,3,-2770.0
0,4,-3011.0
0,5,-3072.0
0,6,-2913.0
0,7,-2933.0
0,8,-2723.0
0,9,-2615.0
0,10,-2733.0
0,11,-3168.0
0,12,-2528.0
0,13,-3480.0
0,14,-2059.0
0,15,-3047.0
0,16,-2456.0
0,17,-2371.0
0,18,-2512.0
0,19,-1737.0
0,20,-2188.0
0,21,-2211.0
0,22,-2463.0
0,23,-2057.0
0,24,-1953.0
0,25,-2490.0
0,26,-3671.0
0,27,-1871.0
0,28,-2394.0
0,29,-1912.0
0,30,-2389.0
0,31,-2374.0
0,32,-1853.0
0,33,-1966.0
0,34,-2328.0
0,35,-2650.0
0,36,-1690.0
0,37,-2720.0
0,38,-2026.0
0,39,-1884.0
0,40,-1749.0
0,41,-1633.0
0,42,-2084.0
0,43,-2326.0
0,44,-1720.0
0,45,-2146.0
0,46,-1963.0
0,47,-1701.0
0,48,-2115.0
0,49,-2366.0
0,50,-2300.0
0,51,-3689.0
0,52,-2263.0
0,53,-2373.0
0,54,-2172.0
0,55,-2850.0
0,56,-2166.0
0,57,-2560.0
0,58,-2129.0
0,59,-1753.0
0,60,-2482.0
0,61,-2869.0
0,62,-2994.0
0,63,-3179.0
0,64,-3693.0
0,65,-1861.0
0,66,-2439.0
0,67,-1942.0
0,68,-1740.0
0,69,-1825.0
0,70,-2180.0
0,71,-1981.0
0,72,-2047.0
0,73,-2512.0
0,74,-2365.0
0,75,-1898.0
0,76,-2140.0
0,77,-2215.0
0,78,-2154.0
0,79,-2399.0
0,80,-2471.0
0,81,-2168.0
0,82,-1783.0
0,83,-1977.0
0,84,-2517.0
0,85,-1754.0
0,86,-1922.0
0,87,-2236.0
0,88,-2081.0
0,89,-1985.0
0,90,-1624.0
0,91,-1764.0
0,92,-2083.0
0,93,-1706.0
0,94,-2275.0
0,95,-1773.0
0,96,-2077.0
0,97,-2078.0
0,98,-2614.0
0,99,-2322.0
0,100,-1458.0
0,101,-2157.0
0,102,-1633.0
0,103,-1823.0
0,104,-2021.0
0,105,-2065.0
0,106,-2169.0
0,107,-2089.0
0,108,-1472.0
0,109,-2576.0
0,110,-2485.0
0,111,-1776.0
1,1,-4434.0
1,2,-3065.0
1,3,-2725.0
1,4,-4079.0
1,5,-2472.0
1,6,-2825.0
1,7,-3412.0
1,8,-2707.0
1,9,-2688.0
1,10,-2102.0
1,11,-3210.0
1,12,-2022.0
1,13,-2358.0
1,14,-3742.0
1,15,-2824.0
1,16,-2330.0
1,17,-2543.0
1,18,-2603.0
1,19,-2107.0
1,20,-1792.0
1,21,-2537.0
1,22,-2254.0
1,23,-1997.0
1,24,-2165.0
1,25,-2467.0
1,26,-1953.0
1,27,-2004.0
1,28,-2397.0
1,29,-2031.0
1,30,-2239.0
1,31,-2391.0
1,32,-2878.0
1,33,-1753.0
1,34,-2181.0
1,35,-2182.0
1,36,-2442.0
1,37,-2123.0
1,38,-2111.0
1,39,-2754.0
1,40,-1872.0
1,41,-3106.0
1,42,-2215.0
1,43,-2320.0
1,44,-2386.0
1,45,-2182.0
1,46,-1580.0
1,47,-2219.0
1,48,-2293.0
1,49,-2120.0
1,50,-2187.0
1,51,-2927.0
1,52,-2001.0
1,53,-2242.0
1,54,-2101.0
1,55,-1868.0
1,56,-2240.0
1,57,-2217.0
1,58,-1716.0
1,59,-2061.0
1,60,-2215.0
1,61,-2695.0
1,62,-1964.0
1,63,-2446.0
1,64,-1644.0
1,65,-1456.0
1,66,-4748.0
1,67,-4313.0
1,68,-1791.0
1,69,-1635.0
1,70,-3235.0
1,71,-1844.0
1,72,-2686.0
1,73,-2154.0
1,74,-2085.0
1,75,-1772.0
1,76,-2298.0
1,77,-2579.0
1,78,-1519.0
1,79,-1927.0
1,80,-2404.0
1,81,-1551.0
1,82,-1847.0
1,83,-2452.0
1,84,-2226.0
1,85,-2220.0
1,86,-2338.0
1,87,-1538.0
1,88,-2433.0
1,89,-2482.0
1,90,-1770.0
1,91,-2320.0
1,92,-1609.0
1,93,-3305.0
1,94,-2543.0
1,95,-2124.0
1,96,-1575.0
1,97,-2462.0
1,98,-1865.0
1,99,-2014.0
1,100,-1766.0
1,101,-1538.0
1,102,-2736.0
1,103,-2072.0
1,104,-1798.0
1,105,-1881.0
1,106,-1899.0
1,107,-2636.0
1,108,-2200.0
1,109,-1726.0
1,110,-2119.0
1,111,-1738.0
1,112,-2655.0
2,1,-5661.0
2,2,-3920.0
2,3,-2866.0
2,4,-2375.0
2,5,-3122.0
2,6,-2685.0
2,7,-2630.0
2,8,-2291.0
2,9,-2484.0
2,10,-2879.0
2,11,-2916.0
2,12,-2248.0
2,13,-3090.0
2,14,-2702.0
2,15,-2307.0
2,16,-1691.0
2,17,-2984.0
2,18,-2551.0
2,19,-2651.0
2,20,-2112.0
2,21,-3917.0
2,22,-2432.0
2,23,-3909.0
2,24,-3020.0
2,25,-2661.0
2,26,-2650.0
2,27,-2033.0
2,28,-1890.0
2,29,-2517.0
2,30,-1929.0
2,31,-2374.0
2,32,-2239.0
2,33,-2984.0
2,34,-3028.0
2,35,-2399.0
2,36,-1930.0
2,37,-2582.0
2,38,-2398.0
2,39,-2453.0
2,40,-2150.0
2,41,-2085.0
2,42,-2259.0
2,43,-2093.0
2,44,-2091.0
2,45,-2159.0
2,46,-1871.0
2,47,-1985.0
2,48,-1813.0
2,49,-2043.0
2,50,-2026.0
2,51,-2769.0
2,52,-2131.0
2,53,-1870.0
2,54,-2804.0
2,55,-2110.0
2,56,-1822.0
2,57,-1798.0
2,58,-2137.0
2,59,-2854.0
2,60,-2342.0
2,61,-2520.0
2,62,-1695.0
2,63,-2733.0
2,64,-1674.0
2,65,-2354.0
2,66,-1963.0
2,67,-1892.0
2,68,-1958.0
2,69,-3038.0
2,70,-1952.0
2,71,-1871.0
2,72,-1620.0
2,73,-1847.0
2,74,-2138.0
2,75,-1602.0
2,76,-2066.0
2,77,-3141.0
2,78,-1838.0
2,79,-1945.0
2,80,-3106.0
2,81,-2499.0
2,82,-3351.0
2,83,-2035.0
2,84,-2119.0
2,85,-1726.0
2,86,-2123.0
2,87,-1962.0
2,88,-2069.0
2,89,-1804.0
2,90,-2883.0
2,91,-2350.0
2,92,-2280.0
2,93,-2101.0
2,94,-2085.0
2,95,-1616.0
2,96,-1867.0
2,97,-1746.0
2,98,-1666.0
2,99,-2260.0
2,100,-2647.0
2,101,-2729.0
2,102,-2744.0
2,103,-2024.0
2,104,-2351.0
2,105,-3363.0
2,106,-1845.0
2,107,-3029.0
2,108,-2088.0
2,109,-1879.0
2,110,-1747.0
3,1,-3074.0
3,2,-4346.0
3,3,-2790.0
3,4,-2941.0
3,5,-2770.0
3,6,-3232.0
3,7,-2727.0
3,8,-2595.0
3,9,-3178.0
3,10,-2717.0
3,11,-2617.0
3,12,-2478.0
3,13,-2291.0
3,14,-2417.0
3,15,-3068.0
3,16,-2611.0
3,17,-2126.0
3,18,-3445.0
3,19,-2405.0
3,20,-2483.0
3,21,-2090.0
3,22,-1999.0
3,23,-3013.0
3,24,-2263.0
3,25,-3186.0
3,26,-2066.0
3,27,-2397.0
3,28,-1779.0
3,29,-2636.0
3,30,-2424.0
3,31,-2248.0
3,32,-1586.0
3,33,-2103.0
3,34,-2614.0
3,35,-2111.0
3,36,-1539.0
3,37,-3361.0
3,38,-2141.0
3,39,-1944.0
3,40,-1814.0
3,41,-2057.0
3,42,-4283.0
3,43,-2227.0
3,44,-2205.0
3,45,-2025.0
3,46,-2259.0
3,47,-2138.0
3,48,-2180.0
3,49,-1905.0
3,50,-1701.0
3,51,-1686.0
3,52,-2652.0
3,53,-1810.0
3,54,-1504.0
3,55,-2352.0
3,56,-1993.0
3,57,-2418.0
3,58,-1634.0
3,59,-1922.0
3,60,-2532.0
3,61,-1811.0
3,62,-1965.0
3,63,-2126.0
3,64,-2615.0
3,65,-2051.0
3,66,-2009.0
3,67,-2437.0
3,68,-1399.0
3,69,-1943.0
3,70,-2594.0
3,71,-1591.0
3,72,-2569.0
3,73,-3400.0
3,74,-2000.0
3,75,-3092.0
3,76,-2932.0
3,77,-2851.0
3,78,-4480.0
3,79,-4599.0
3,80,-2896.0
3,81,-3457.0
3,82,-2802.0
3,83,-3226.0
3,84,-2670.0
3,85,-2595.0
3,86,-3187.0
3,87,-2557.0
3,88,-2602.0
3,89,-2712.0
3,90,-2799.0
3,91,-1889.0
3,92,-3631.0
3,93,-1653.0
3,94,-3012.0
3,95,-1983.0
3,96,-2084.0
3,97,-2532.0
3,98,-2150.0
3,99,-2848.0
3,100,-2110.0
3,101,-1597.0
3,102,-1815.0
3,103,-2515.0
3,104,-2326.0
3,105,-1784.0
3,106,-1666.0
3,107,-2038.0
3,108,-1332.0
3,109,-1687.0
3,110,-2624.0
3,111,-1615.0
3,112,-1876.0
4,1,-3037.0
4,2,-4735.0
4,3,-4051.0
4,4,-3493.0
4,5,-3914.0
4,6,-2416.0
4,7,-3594.0
4,8,-2353.0
4,9,-2837.0
4,10,-2647.0
4,11,-2485.0
4,12,-2466.0
4,13,-3053.0
4,14,-3068.0
4,15,-2608.0
4,16,-2338.0
4,17,-2387.0
4,18,-1543.0
4,19,-2697.0
4,20,-2479.0
4,21,-2318.0
4,22,-2029.0
4,23,-2021.0
4,24,-2425.0
4,25,-1786.0
4,26,-3704.0
4,27,-2129.0
4,28,-1724.0
4,29,-2431.0
4,30,-2276.0
4,31,-2055.0
4,32,-2572.0
4,33,-2266.0
4,34,-1962.0
4,35,-2884.0
4,36,-2687.0
4,37,-1677.0
4,38,-1897.0
4,39,-2997.0
4,40,-2808.0
4,41,-3189.0
4,42,-2918.0
4,43,-1981.0
4,44,-2364.0
4,45,-2130.0
4,46,-2159.0
4,47,-2030.0
4,48,-2205.0
4,49,-1931.0
4,50,-1779.0
4,51,-2462.0
4,52,-1828.0
4,53,-1887.0
4,54,-1694.0
4,55,-2193.0
4,56,-1943.0
4,57,-2350.0
4,58,-2365.0
4,59,-1588.0
4,60,-2038.0
4,61,-2452.0
4,62,-2597.0
4,63,-1810.0
4,64,-3321.0
4,65,-2240.0
4,66,-1449.0
4,67,-2137.0
4,68,-2670.0
4,69,-2553.0
4,70,-1784.0
4,71,-2078.0
4,72,-1978.0
4,73,-2240.0
4,74,-1853.0
4,75,-1517.0
4,76,-1708.0
4,77,-2254.0
4,78,-2201.0
4,79,-2212.0
4,80,-2000.0
4,81,-2414.0
4,82,-2713.0
4,83,-1944.0
4,84,-1900.0
4,85,-2506.0
4,86,-2263.0
