semente,episodio,recompensa
0,1,-3382.0
0,2,-3058.0
0,3,-5918.0
0,4,-3460.0
0,5,-3276.0
0,6,-3659.0
0,7,-3244.0
0,8,-4368.0
0,9,-3981.0
0,10,-3249.0
0,11,-3616.0
0,12,-3916.0
0,13,-3318.0
0,14,-3744.0
0,15,-4107.0
0,16,-5793.0
0,17,-3603.0
0,18,-4082.0
0,19,-3628.0
0,20,-3032.0
0,21,-5148.0
0,22,-4392.0
0,23,-4191.0
0,24,-3827.0
0,25,-3539.0
0,26,-2883.0
0,27,-3233.0
0,28,-3387.0
0,29,-3023.0
0,30,-3767.0
0,31,-5969.0
0,32,-3503.0
0,33,-3277.0
0,34,-3275.0
0,35,-3129.0
0,36,-2767.0
0,37,-2525.0
0,38,-3727.0
0,39,-4703.0
0,40,-2979.0
0,41,-3299.0
0,42,-3192.0
0,43,-2858.0
0,44,-2350.0
0,45,-2999.0
0,46,-3408.0
0,47,-3072.0
0,48,-3578.0
0,49,-2907.0
0,50,-3964.0
0,51,-3135.0
0,52,-2118.0
0,53,-4074.0
0,54,-3620.0
0,55,-3448.0
0,56,-2510.0
0,57,-3854.0
0,58,-3485.0
0,59,-2249.0
0,60,-2926.0
0,61,-3304.0
0,62,-3155.0
0,63,-3233.0
0,64,-2653.0
0,65,-3219.0
0,66,-3843.0
0,67,-3128.0
0,68,-2291.0
0,69,-3280.0
0,70,-2654.0
0,71,-3389.0
0,72,-2966.0
0,73,-2753.0
0,74,-3807.0
0,75,-2189.0
0,76,-3117.0
0,77,-3747.0
0,78,-3718.0
0,79,-3246.0
0,80,-3354.0
0,81,-2604.0
0,82,-2875.0
0,83,-3296.0
0,84,-3407.0
0,85,-2385.0
0,86,-2646.0
0,87,-2668.0
0,88,-2842.0
0,89,-2429.0
0,90,-2373.0
0,91,-2195.0
0,92,-3062.0
0,93,-3007.0
0,94,-2841.0
0,95,-2607.0
0,96,-3090.0
0,97,-2221.0
0,98,-2939.0
0,99,-2884.0
0,100,-2378.0
1,1,-2976.0
1,2,-3833.0
1,3,-2543.0
1,4,-3998.0
1,5,-3513.0
1,6,-3011.0
1,7,-5532.0
1,8,-3302.0
1,9,-3595.0
1,10,-3618.0
1,11,-2926.0
1,12,-4092.0
1,13,-3005.0
1,14,-2789.0
1,15,-3453.0
1,16,-4234.0
1,17,-3852.0
