semente,episodio,recompensa
0,1,-67009.0
0,2,-69300.0
0,3,-76591.0
0,4,-86262.0
0,5,-65967.0
0,6,-64663.0
0,7,-52269.0
0,8,-53792.0
0,9,-58915.0
0,10,-54000.0
0,11,-65735.0
0,12,-76524.0
0,13,-70725.0
0,14,-61618.0
0,15,-81977.0
0,16,-70915.0
0,17,-65050.0
0,18,-73474.0
0,19,-75694.0
0,20,-66064.0
0,21,-71354.0
0,22,-56228.0
0,23,-57760.0
0,24,-52121.0
0,25,-51503.0
0,26,-66978.0
0,27,-65896.0
0,28,-56612.0
0,29,-49372.0
0,30,-85171.0
0,31,-76736.0
0,32,-55169.0
0,33,-49105.0
0,34,-45622.0
0,35,-68247.0
0,36,-54339.0
0,37,-58078.0
0,38,-59487.0
0,39,-56669.0
0,40,-54350.0
0,41,-55002.0
0,42,-58398.0
0,43,-59449.0
0,44,-79214.0
0,45,-254005.0
0,46,-112198.0
0,47,-125058.0
0,48,-108054.0
0,49,-75623.0
0,50,-106353.0
0,51,-74805.0
0,52,-52311.0
0,53,-60133.0
0,54,-71465.0
0,55,-80788.0
0,56,-59627.0
0,57,-78745.0
0,58,-53876.0
0,59,-62201.0
0,60,-66126.0
0,61,-49417.0
0,62,-52789.0
0,63,-46675.0
0,64,-55488.0
0,65,-56352.0
0,66,-70250.0
0,67,-294826.0
0,68,-67895.0
0,69,-75444.0
0,70,-56628.0
0,71,-56499.0
0,72,-59647.0
0,73,-66852.0
0,74,-79401.0
0,75,-73144.0
0,76,-75391.0
0,77,-87767.0
0,78,-68482.0
0,79,-78995.0
0,80,-72345.0
0,81,-66923.0
0,82,-76277.0
0,83,-77057.0
0,84,-103607.0
0,85,-89105.0
0,86,-86515.0
0,87,-85550.0
0,88,-80538.0
0,89,-61731.0
1,1,-75840.0
1,2,-90047.0
1,3,-109664.0
1,4,-83979.0
1,5,-64427.0
1,6,-53594.0
1,7,-97241.0
1,8,-103277.0
1,9,-108767.0
1,10,-58953.0
1,11,-69494.0
1,12,-93690.0
1,13,-105909.0
1,14,-109819.0
1,15,-101020.0
1,16,-85071.0
1,17,-79565.0
1,18,-71999.0
1,19,-98294.0
1,20,-107165.0
1,21,-98502.0
1,22,-118735.0
1,23,-117240.0
1,24,-120090.0
1,25,-93646.0
1,26,-95155.0
1,27,-76957.0
1,28,-81838.0
1,29,-55928.0
1,30,-64665.0
1,31,-56198.0
1,32,-71943.0
1,33,-97613.0
1,34,-58983.0
1,35,-76453.0
1,36,-91722.0
1,37,-66172.0
1,38,-47025.0
1,39,-46986.0
1,40,-78714.0
1,41,-57540.0
1,42,-64464.0
1,43,-53854.0
1,44,-53988.0
1,45,-62620.0
1,46,-58199.0
1,47,-54653.0
1,48,-56398.0
1,49,-47772.0
1,50,-75257.0
1,51,-70266.0
1,52,-56613.0
1,53,-56590.0
1,54,-82843.0
1,55,-78715.0
1,56,-60258.0
1,57,-51163.0
1,58,-56383.0
1,59,-49353.0
1,60,-46892.0
1,61,-63238.0
1,62,-65118.0
1,63,-51863.0
1,64,-57030.0
1,65,-54497.0
1,66,-54226.0
1,67,-47222.0
1,68,-265620.0
1,69,-69412.0
1,70,-62176.0
1,71,-62128.0
1,72,-77526.0
1,73,-69609.0
1,74,-68706.0
1,75,-53679.0
1,76,-51219.0
1,77,-65516.0
1,78,-80911.0
1,79,-55853.0
1,80,-72635.0
1,81,-57956.0
1,82,-46455.0
1,83,-46394.0
1,84,-54698.0
1,85,-57209.0
1,86,-65134.0
2,1,-53631.0
2,2,-44307.0
2,3,-66631.0
2,4,-52407.0
2,5,-44166.0
2,6,-50886.0
2,7,-49911.0
2,8,-50178.0
2,9,-50232.0
2,10,-89977.0
2,11,-87512.0
2,12,-51036.0
2,13,-90698.0
2,14,-71818.0
2,15,-77857.0
2,16,-75313.0
2,17,-72483.0
2,18,-64562.0
2,19,-65230.0
2,20,-50536.0
2,21,-62302.0
2,22,-67452.0
2,23,-74342.0
2,24,-67817.0
2,25,-65119.0
2,26,-60420.0
2,27,-57948.0
2,28,-52578.0
2,29,-65745.0
2,30,-82686.0
2,31,-74989.0
2,32,-85351.0
2,33,-118210.0
2,34,-118200.0
2,35,-86479.0
2,36,-62305.0
2,37,-73650.0
2,38,-60571.0
2,39,-75097.0
2,40,-63120.0
2,41,-57096.0
2,42,-58522.0
2,43,-68556.0
2,44,-54976.0
2,45,-67360.0
2,46,-68927.0
2,47,-71318.0
2,48,-452656.0
2,49,-71029.0
2,50,-64768.0
2,51,-84324.0
2,52,-73360.0
2,53,-70583.0
2,54,-101946.0
2,55,-74806.0
2,56,-57016.0
