semente,episodio,recompensa
0,1,-60905.0
0,2,-55721.0
0,3,-58016.0
0,4,-60204.0
0,5,-55627.0
0,6,-51063.0
0,7,-51222.0
0,8,-48158.0
0,9,-50760.0
0,10,-45966.0
0,11,-45479.0
0,12,-47528.0
0,13,-51198.0
0,14,-46336.0
0,15,-50662.0
0,16,-45323.0
0,17,-44127.0
0,18,-45215.0
0,19,-51581.0
0,20,-46843.0
0,21,-48189.0
0,22,-42434.0
0,23,-44605.0
0,24,-44516.0
0,25,-44526.0
0,26,-46405.0
0,27,-44793.0
0,28,-42997.0
0,29,-41048.0
0,30,-48741.0
0,31,-45071.0
0,32,-42109.0
0,33,-45003.0
0,34,-47140.0
0,35,-48295.0
0,36,-45272.0
0,37,-42671.0
0,38,-47321.0
0,39,-46130.0
0,40,-45534.0
0,41,-263329.0
0,42,-43375.0
0,43,-240988.0
0,44,-46768.0
0,45,-45511.0
0,46,-242037.0
0,47,-43607.0
0,48,-42767.0
0,49,-42246.0
0,50,-47269.0
0,51,-48423.0
0,52,-45907.0
0,53,-46934.0
0,54,-43719.0
0,55,-45551.0
0,56,-42976.0
0,57,-38089.0
0,58,-48314.0
0,59,-49513.0
0,60,-49710.0
0,61,-43120.0
0,62,-48796.0
0,63,-43595.0
0,64,-43631.0
0,65,-47403.0
0,66,-45146.0
0,67,-44242.0
0,68,-46568.0
0,69,-42254.0
1,1,-64682.0
1,2,-68010.0
1,3,-63539.0
1,4,-53199.0
1,5,-49074.0
1,6,-51949.0
1,7,-49613.0
1,8,-45416.0
1,9,-45913.0
1,10,-45237.0
1,11,-47976.0
1,12,-45304.0
1,13,-44730.0
1,14,-44086.0
1,15,-48788.0
1,16,-44300.0
1,17,-40263.0
1,18,-42361.0
1,19,-42830.0
1,20,-43938.0
1,21,-45855.0
1,22,-44640.0
1,23,-46277.0
1,24,-41902.0
1,25,-44136.0
1,26,-44460.0
1,27,-44408.0
1,28,-45071.0
1,29,-41588.0
1,30,-44046.0
1,31,-258997.0
1,32,-43589.0
1,33,-46794.0
1,34,-45340.0
1,35,-51811.0
1,36,-43015.0
1,37,-43387.0
1,38,-43662.0
1,39,-42526.0
1,40,-43565.0
1,41,-43693.0
1,42,-45725.0
1,43,-44295.0
1,44,-45202.0
1,45,-46675.0
1,46,-41306.0
1,47,-42992.0
1,48,-44558.0
1,49,-40320.0
1,50,-38684.0
1,51,-43115.0
1,52,-44401.0
1,53,-42131.0
1,54,-45803.0
1,55,-45251.0
1,56,-45431.0
1,57,-46724.0
1,58,-45363.0
1,59,-45165.0
1,60,-46673.0
1,61,-249755.0
1,62,-40663.0
1,63,-46540.0
1,64,-44022.0
1,65,-40399.0
1,66,-43841.0
1,67,-40697.0
1,68,-41970.0
1,69,-40831.0
2,1,-68543.0
2,2,-71996.0
2,3,-53830.0
2,4,-56112.0
2,5,-56048.0
2,6,-49709.0
2,7,-49534.0
2,8,-46917.0
2,9,-44611.0
2,10,-44068.0
2,11,-44348.0
2,12,-42251.0
2,13,-46183.0
2,14,-46268.0
2,15,-45359.0
2,16,-45127.0
2,17,-49074.0
2,18,-45465.0
2,19,-44525.0
2,20,-45355.0
2,21,-48142.0
2,22,-46178.0
2,23,-45700.0
2,24,-45645.0
2,25,-242002.0
2,26,-45331.0
2,27,-43216.0
2,28,-45857.0
2,29,-44030.0
2,30,-47043.0
2,31,-51415.0
2,32,-46732.0
2,33,-47039.0
2,34,-46328.0
2,35,-46204.0
2,36,-43985.0
2,37,-48395.0
2,38,-254222.0
2,39,-238919.0
2,40,-41095.0
2,41,-263581.0
2,42,-43076.0
2,43,-49596.0
2,44,-43431.0
2,45,-48811.0
2,46,-41408.0
2,47,-45293.0
2,48,-42296.0
2,49,-41578.0
2,50,-40652.0
2,51,-262940.0
2,52,-42482.0
2,53,-40682.0
2,54,-43503.0
2,55,-46924.0
2,56,-50908.0
2,57,-41804.0
2,58,-43269.0
2,59,-40937.0
2,60,-49876.0
2,61,-42043.0
2,62,-45918.0
2,63,-44873.0
2,64,-49321.0
2,65,-42970.0
2,66,-48024.0
2,67,-43573.0
2,68,-44653.0
2,69,-50237.0
3,1,-64175.0
3,2,-55725.0
3,3,-58261.0
3,4,-58520.0
3,5,-54362.0
3,6,-54473.0
3,7,-47891.0
3,8,-45739.0
3,9,-42448.0
3,10,-48979.0
3,11,-46889.0
3,12,-48546.0
