semente,episodio,recompensa
0,1,-64663.0
0,2,-63896.0
0,3,-65099.0
0,4,-69588.0
0,5,-65275.0
0,6,-65768.0
0,7,-58357.0
0,8,-58747.0
0,9,-80402.0
0,10,-65498.0
0,11,-64495.0
0,12,-69902.0
0,13,-64007.0
0,14,-59670.0
0,15,-69253.0
0,16,-55545.0
0,17,-73078.0
0,18,-64073.0
0,19,-79287.0
0,20,-70108.0
0,21,-73258.0
0,22,-56499.0
0,23,-71274.0
0,24,-57389.0
0,25,-61364.0
0,26,-69392.0
0,27,-56302.0
0,28,-69591.0
0,29,-61583.0
0,30,-71079.0
0,31,-69684.0
0,32,-70383.0
0,33,-58361.0
0,34,-59847.0
0,35,-66718.0
0,36,-60751.0
0,37,-59986.0
0,38,-64082.0
0,39,-69394.0
0,40,-71590.0
0,41,-67364.0
0,42,-65904.0
0,43,-58684.0
0,44,-75123.0
0,45,-71689.0
0,46,-68038.0
0,47,-55472.0
0,48,-66308.0
0,49,-58525.0
0,50,-67253.0
0,51,-69713.0
0,52,-62027.0
0,53,-60990.0
0,54,-70390.0
0,55,-63697.0
0,56,-66332.0
0,57,-62402.0
0,58,-78576.0
0,59,-73242.0
0,60,-59703.0
0,61,-73503.0
0,62,-55933.0
0,63,-61198.0
0,64,-59558.0
0,65,-65248.0
0,66,-78628.0
0,67,-63772.0
0,68,-303370.0
0,69,-66161.0
0,70,-62260.0
0,71,-62552.0
0,72,-62022.0
0,73,-62494.0
0,74,-69036.0
0,75,-64853.0
0,76,-61773.0
0,77,-64330.0
0,78,-69778.0
0,79,-136228.0
0,80,-66781.0
0,81,-64054.0
0,82,-65981.0
0,83,-72296.0
0,84,-73217.0
0,85,-54523.0
0,86,-62684.0
0,87,-80163.0
0,88,-63189.0
0,89,-64001.0
0,90,-74764.0
0,91,-56660.0
0,92,-64448.0
0,93,-72651.0
0,94,-58769.0
0,95,-65877.0
0,96,-62007.0
0,97,-58892.0
0,98,-75674.0
0,99,-63051.0
0,100,-63791.0
1,1,-57201.0
1,2,-62655.0
1,3,-61479.0
1,4,-62651.0
1,5,-79925.0
1,6,-64241.0
1,7,-65432.0
1,8,-62596.0
1,9,-67033.0
1,10,-68009.0
1,11,-62660.0
1,12,-76570.0
1,13,-65971.0
1,14,-73517.0
1,15,-72086.0
1,16,-77742.0
1,17,-66819.0
1,18,-65421.0
1,19,-65336.0
1,20,-60644.0
1,21,-66611.0
1,22,-60541.0
1,23,-63869.0
1,24,-75280.0
1,25,-67106.0
1,26,-63862.0
1,27,-67693.0
1,28,-58008.0
1,29,-59214.0
1,30,-59029.0
1,31,-59275.0
1,32,-56491.0
1,33,-233491.0
1,34,-67894.0
1,35,-63932.0
1,36,-59009.0
1,37,-74632.0
1,38,-68928.0
1,39,-60179.0
1,40,-68501.0
1,41,-64658.0
1,42,-60833.0
1,43,-63819.0
1,44,-63200.0
1,45,-68783.0
1,46,-67051.0
1,47,-64889.0
1,48,-61813.0
1,49,-59968.0
1,50,-78284.0
1,51,-64931.0
1,52,-63610.0
1,53,-69004.0
1,54,-63747.0
1,55,-65720.0
1,56,-65456.0
1,57,-75482.0
1,58,-62439.0
1,59,-76243.0
1,60,-73869.0
1,61,-68582.0
1,62,-74365.0
1,63,-58920.0
1,64,-65534.0
1,65,-69843.0
1,66,-61956.0
1,67,-65907.0
1,68,-60175.0
1,69,-65740.0
1,70,-57291.0
1,71,-62803.0
1,72,-62301.0
1,73,-64254.0
1,74,-70729.0
1,75,-70807.0
1,76,-60349.0
1,77,-66973.0
1,78,-67135.0
1,79,-62377.0
1,80,-67639.0
1,81,-71683.0
1,82,-71374.0
1,83,-76777.0
1,84,-67061.0
1,85,-65829.0
1,86,-71438.0
1,87,-67691.0
1,88,-68812.0
1,89,-68005.0
1,90,-63030.0
1,91,-66750.0
1,92,-57504.0
1,93,-71006.0
1,94,-57032.0
1,95,-72354.0
1,96,-63988.0
1,97,-55248.0
1,98,-83756.0
1,99,-59896.0
1,100,-70932.0
2,1,-68254.0
2,2,-68297.0
2,3,-69803.0
2,4,-76624.0
2,5,-69588.0
2,6,-60958.0
2,7,-65860.0
2,8,-65572.0
2,9,-62015.0
2,10,-70656.0
2,11,-71156.0
2,12,-60246.0
2,13,-66649.0
2,14,-69140.0
2,15,-79407.0
2,16,-66489.0
2,17,-66983.0
2,18,-59618.0
2,19,-69168.0
2,20,-60933.0
2,21,-67723.0
2,22,-68779.0
2,23,-64520.0
2,24,-63709.0
2,25,-62277.0
2,26,-65009.0
2,27,-63696.0
2,28,-58822.0
2,29,-76926.0
2,30,-64790.0
2,31,-67131.0
2,32,-64667.0
2,33,-58006.0
2,34,-67667.0
2,35,-72536.0
2,36,-64114.0
2,37,-65720.0
2,38,-61678.0
2,39,-65017.0
2,40,-74478.0
2,41,-62690.0
2,42,-76112.0
2,43,-61678.0
2,44,-60492.0
2,45,-69671.0
2,46,-65798.0
2,47,-58127.0
2,48,-65580.0
2,49,-67828.0
2,50,-67244.0
2,51,-71483.0
2,52,-73924.0
2,53,-64300.0
2,54,-57682.0
2,55,-64892.0
2,56,-57614.0
2,57,-65788.0
2,58,-62347.0
2,59,-62796.0
2,60,-71049.0
2,61,-65969.0
2,62,-58230.0
2,63,-67686.0
2,64,-56929.0
2,65,-63226.0
2,66,-61259.0
2,67,-59375.0
2,68,-67192.0
2,69,-67149.0
2,70,-80290.0
2,71,-69616.0
2,72,-57705.0
2,73,-69401.0
2,74,-61608.0
2,75,-64855.0
2,76,-68021.0
2,77,-271573.0
2,78,-72241.0
2,79,-79426.0
2,80,-66537.0
2,81,-64868.0
2,82,-60123.0
2,83,-68784.0
2,84,-69631.0
2,85,-68493.0
2,86,-69180.0
2,87,-76213.0
2,88,-73142.0
2,89,-61768.0
2,90,-67766.0
2,91,-60845.0
2,92,-67263.0
2,93,-55950.0
2,94,-63836.0
2,95,-57495.0
2,96,-63358.0
2,97,-69914.0
2,98,-67352.0
2,99,-64057.0
2,100,-61247.0
3,1,-59306.0
3,2,-63175.0
3,3,-63357.0
3,4,-74413.0
3,5,-71811.0
3,6,-64994.0
3,7,-72094.0
3,8,-70399.0
3,9,-58672.0
3,10,-72032.0
3,11,-66322.0
3,12,-64257.0
3,13,-69341.0
3,14,-63666.0
3,15,-61445.0
3,16,-75523.0
3,17,-69270.0
3,18,-63942.0
3,19,-66058.0
3,20,-70082.0
3,21,-67664.0
3,22,-64515.0
3,23,-76413.0
3,24,-62381.0
3,25,-75517.0
3,26,-64454.0
3,27,-60186.0
3,28,-64687.0
3,29,-62901.0
3,30,-286863.0
3,31,-68396.0
3,32,-69323.0
3,33,-86070.0
3,34,-68632.0
3,35,-60374.0
3,36,-58542.0
3,37,-75618.0
3,38,-62559.0
3,39,-71044.0
3,40,-289212.0
3,41,-61550.0
3,42,-71280.0
3,43,-60466.0
3,44,-69145.0
3,45,-67070.0
3,46,-294413.0
3,47,-65711.0
3,48,-75407.0
3,49,-64233.0
3,50,-65659.0
3,51,-67090.0
3,52,-67977.0
3,53,-61293.0
3,54,-73276.0
3,55,-62690.0
3,56,-61418.0
3,57,-68868.0
3,58,-68327.0
3,59,-65565.0
3,60,-68925.0
3,61,-60323.0
3,62,-65364.0
3,63,-59796.0
3,64,-63995.0
3,65,-72170.0
3,66,-65178.0
3,67,-61336.0
3,68,-75682.0
3,69,-66651.0
3,70,-294341.0
3,71,-68100.0
3,72,-71793.0
3,73,-59240.0
3,74,-65272.0
3,75,-67746.0
3,76,-68606.0
3,77,-67276.0
3,78,-66491.0
3,79,-54606.0
3,80,-63745.0
3,81,-58976.0
3,82,-63612.0
3,83,-69854.0
3,84,-78445.0
3,85,-69130.0
3,86,-57434.0
3,87,-60403.0
3,88,-67480.0
3,89,-70181.0
3,90,-71445.0
3,91,-63300.0
3,92,-71706.0
3,93,-59001.0
3,94,-78181.0
3,95,-65053.0
3,96,-63464.0
3,97,-68572.0
3,98,-302025.0
3,99,-74817.0
3,100,-95681.0
4,1,-72816.0
4,2,-61984.0
4,3,-52364.0
4,4,-68763.0
4,5,-62348.0
4,6,-69807.0
4,7,-67803.0
4,8,-63083.0
4,9,-60523.0
4,10,-64808.0
4,11,-61275.0
4,12,-65587.0
4,13,-69002.0
4,14,-69462.0
4,15,-58855.0
4,16,-57428.0
4,17,-68583.0
4,18,-64238.0
4,19,-69482.0
4,20,-70643.0
4,21,-71603.0
4,22,-64951.0
4,23,-61184.0
4,24,-75231.0
4,25,-65399.0
4,26,-60307.0
4,27,-65236.0
4,28,-72960.0
4,29,-56242.0
4,30,-61789.0
4,31,-65839.0
4,32,-66927.0
4,33,-71421.0
4,34,-61575.0
4,35,-59331.0
4,36,-78475.0
4,37,-70903.0
4,38,-63318.0
4,39,-70724.0
4,40,-68978.0
4,41,-71363.0
4,42,-63792.0
4,43,-77688.0
4,44,-67761.0
4,45,-71142.0
4,46,-70385.0
4,47,-84779.0
4,48,-65195.0
4,49,-70153.0
4,50,-60461.0
4,51,-64114.0
4,52,-63107.0
4,53,-66233.0
4,54,-69366.0
4,55,-62766.0
4,56,-66323.0
4,57,-70990.0
4,58,-62874.0
4,59,-69377.0
4,60,-53839.0
4,61,-65589.0
4,62,-73782.0
4,63,-71034.0
4,64,-62403.0
4,65,-68221.0
4,66,-67663.0
4,67,-66743.0
4,68,-66421.0
4,69,-63209.0
4,70,-66824.0
4,71,-69919.0
4,72,-67105.0
4,73,-79838.0
4,74,-57853.0
4,75,-63576.0
4,76,-69071.0
4,77,-62394.0
4,78,-63914.0
4,79,-63802.0
4,80,-69370.0
4,81,-61380.0
4,82,-280124.0
4,83,-70080.0
4,84,-66569.0
4,85,-67724.0
4,86,-59139.0
4,87,-72278.0
4,88,-61420.0
4,89,-60022.0
4,90,-83128.0
4,91,-71549.0
4,92,-60982.0
4,93,-68198.0
4,94,-61555.0
4,95,-59454.0
4,96,-60749.0
4,97,-58987.0
4,98,-70632.0
4,99,-64871.0
4,100,-58927.0
